,short_name,cell_size,li_number,formula,cell_vectors,space_group,ase_structure,li_conc,conc_index,li_mpc,cell_mpc,sg_mpc,structuredata,specific_name,submit_pks
0,lfpo,1,0,Fe4O16P4,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",Pm,"Atoms(symbols='Fe4O16P4', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.0,0,1,10,4,uuid: 66de84dc-e089-4133-865c-8c7cd495e2ec (unstored),lfpo-1-0.0-0,48569.0
1,lfpo,1,1,Fe4O16P4Li,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",P1,"Atoms(symbols='Fe4O16P4Li', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.25,0,2,10,6,uuid: 998f4b0e-15c4-4f06-a3e1-64e4a335e347 (unstored),lfpo-1-0.25-0,
2,lfpo,1,1,Fe4O16P4Li,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",P1,"Atoms(symbols='Fe4O16P4Li', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.25,1,2,10,6,uuid: 91c2e046-2970-4466-9ac8-97b8e11d3a9a (unstored),lfpo-1-0.25-1,
3,lfpo,1,2,Fe4O16P4Li2,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",P1,"Atoms(symbols='Fe4O16P4Li2', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.5,0,4,10,6,uuid: bc4e2a1e-070b-4355-a97e-08db1ad0951c (unstored),lfpo-1-0.5-0,
4,lfpo,1,2,Fe4O16P4Li2,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",P1,"Atoms(symbols='Fe4O16P4Li2', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.5,1,4,10,6,uuid: 2e6d6b88-a942-4102-9724-ad4068cc800f (unstored),lfpo-1-0.5-1,
5,lfpo,1,2,Fe4O16P4Li2,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",Pm,"Atoms(symbols='Fe4O16P4Li2', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.5,2,4,10,4,uuid: 1fca3cb4-080c-43db-bfc5-1b5326862bd9 (unstored),lfpo-1-0.5-2,
6,lfpo,1,2,Fe4O16P4Li2,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",Pm,"Atoms(symbols='Fe4O16P4Li2', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.5,3,4,10,4,uuid: 73064490-7e36-4995-a0c3-1cc9bd7af0d3 (unstored),lfpo-1-0.5-3,
7,lfpo,1,3,Fe4O16P4Li3,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",P1,"Atoms(symbols='Fe4O16P4Li3', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.75,0,2,10,6,uuid: fa674707-bc25-4c09-be76-8aaef8b497ac (unstored),lfpo-1-0.75-0,
8,lfpo,1,3,Fe4O16P4Li3,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",P1,"Atoms(symbols='Fe4O16P4Li3', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",0.75,1,2,10,6,uuid: 2afc9a1b-2616-4963-ba68-a8763cefb565 (unstored),lfpo-1-0.75-1,
9,lfpo,1,4,Fe4O16P4Li4,"[[ 4.06104185e-04  0.00000000e+00 -4.70224824e+00]
 [ 0.00000000e+00 -6.00830996e+00  0.00000000e+00]
 [-1.03193167e+01  0.00000000e+00  9.38346792e-04]]",Pm,"Atoms(symbols='Fe4O16P4Li4', pbc=True, cell=[[0.00040610418531134457, 0.0, -4.702248243809735], [0.0, -6.008309955675793, 0.0], [-10.319316698483398, 0.0, 0.0009383467918178797]], initial_magmoms=...)",1.0,0,1,10,4,uuid: 63a2dbb3-291d-4443-a249-aab731762d36 (unstored),lfpo-1-1.0-0,
